# Dipole autocorrelation data
# t0(ps) t(ps) C(t)
# Started at time 0.0 ps
0.000000 7.026000 1079.370123
0.000000 7.027000 1085.680025
0.000000 7.028000 1091.928983
0.000000 7.029000 1097.015876
0.000000 7.030000 1100.065667
0.000000 7.031000 1100.584740
0.000000 7.032000 1098.552659
0.000000 7.033000 1094.413356
0.000000 7.034000 1088.986404
0.000000 7.035000 1083.296857
0.000000 7.036000 1078.378598
0.000000 7.037000 1075.095466
0.000000 7.038000 1073.971752
0.000000 7.039000 1075.109181
0.000000 7.040000 1078.186596
0.000000 7.041000 1082.539799
0.000000 7.042000 1087.299619
0.000000 7.043000 1091.571693
0.000000 7.044000 1094.615993
0.000000 7.045000 1095.985918
0.000000 7.046000 1095.605524
0.000000 7.047000 1093.767793
0.000000 7.048000 1091.055471
0.000000 7.049000 1088.208431
0.000000 7.050000 1085.963109
0.000000 7.051000 1084.894870
0.000000 7.052000 1085.305781
0.000000 7.053000 1087.169418
0.000000 7.054000 1090.145758
0.000000 7.055000 1093.661855
0.000000 7.056000 1097.033144
0.000000 7.057000 1099.625568
0.000000 7.058000 1100.977510
0.000000 7.059000 1100.902615
0.000000 7.060000 1099.527181
0.000000 7.061000 1097.256464
0.000000 7.062000 1094.683620
0.000000 7.063000 1092.466560
0.000000 7.064000 1091.186740
0.000000 7.065000 1091.228097
0.000000 7.066000 1092.699275
0.000000 7.067000 1095.413867
0.000000 7.068000 1098.937044
0.000000 7.069000 1102.680982
0.000000 7.070000 1106.031197
0.000000 7.071000 1108.474760
0.000000 7.072000 1109.716475
0.000000 7.073000 1109.732157
0.000000 7.074000 1108.773236
0.000000 7.075000 1107.301919
0.000000 7.076000 1105.892181
0.000000 7.077000 1105.098485
0.000000 7.078000 1105.333581
0.000000 7.079000 1106.773034
0.000000 7.080000 1109.313155
0.000000 7.081000 1112.595592
0.000000 7.082000 1116.080549
0.000000 7.083000 1119.158551
0.000000 7.084000 1121.293533
0.000000 7.085000 1122.142674
0.000000 7.086000 1121.639855
0.000000 7.087000 1120.021618
0.000000 7.088000 1117.787134
0.000000 7.089000 1115.608158
0.000000 7.090000 1114.187876
0.000000 7.091000 1114.114306
0.000000 7.092000 1115.733916
0.000000 7.093000 1119.072328
0.000000 7.094000 1123.811445
0.000000 7.095000 1129.346506
0.000000 7.096000 1134.897638
0.000000 7.097000 1139.652609
0.000000 7.098000 1142.925455
0.000000 7.099000 1144.296603
0.000000 7.100000 1143.695691
0.000000 7.101000 1141.424069
0.000000 7.102000 1138.099975
0.000000 7.103000 1134.542108
0.000000 7.104000 1131.616457
0.000000 7.105000 1130.069096
0.000000 7.106000 1130.389813
0.000000 7.107000 1132.720859
0.000000 7.108000 1136.830521
0.000000 7.109000 1142.165381
0.000000 7.110000 1147.958651
0.000000 7.111000 1153.371930
0.000000 7.112000 1157.658674
0.000000 7.113000 1160.307476
0.000000 7.114000 1161.129703
0.000000 7.115000 1160.291320
0.000000 7.116000 1158.266967
