# frequency_cm-1 spectrum_au
4.027775346873676909e+01 5.020856656814703000e+15
4.036114426266789934e+01 5.009326437047665000e+15
4.044453505659903669e+01 4.998155920491857000e+15
4.052792585053016694e+01 4.987343178028027000e+15
4.061131664446129719e+01 4.976886179932888000e+15
4.069470743839242743e+01 4.966782797495279000e+15
4.077809823232355768e+01 4.957030804456694000e+15
4.086148902625470214e+01 4.947627878239042000e+15
4.094487982018583239e+01 4.938571600941660000e+15
4.102827061411696263e+01 4.929859460211348000e+15
4.111166140804809288e+01 4.921488849859952000e+15
4.119505220197922313e+01 4.913457070326194000e+15
4.127844299591036048e+01 4.905761328944162000e+15
4.136183378984149073e+01 4.898398740032160000e+15
4.144522458377262097e+01 4.891366324813686000e+15
4.152861537770375122e+01 4.884661011180206000e+15
4.161200617163488147e+01 4.878279633235709000e+15
4.169539696556601882e+01 4.872218930745653000e+15
4.177878775949714907e+01 4.866475548407132000e+15
4.186217855342827932e+01 4.861046034938166000e+15
4.194556934735940956e+01 4.855926842066099000e+15
4.202896014129053981e+01 4.851114323345520000e+15
4.211235093522167716e+01 4.846604732866796000e+15
4.219574172915280741e+01 4.842394223810939000e+15
4.227913252308393766e+01 4.838478846894597000e+15
4.236252331701506790e+01 4.834854548721939000e+15
4.244591411094619815e+01 4.831517169979235000e+15
4.252930490487734261e+01 4.828462443592294000e+15
4.261269569880847286e+01 4.825685992718336000e+15
4.269608649273960310e+01 4.823183328701664000e+15
4.277947728667073335e+01 4.820949848963728000e+15
4.286286808060186360e+01 4.818980834779766000e+15
4.294625887453300095e+01 4.817271449002913000e+15
4.302964966846413120e+01 4.815816733781150000e+15
4.311304046239526144e+01 4.814611608189712000e+15
4.319643125632639169e+01 4.813650865839763000e+15
4.327982205025752194e+01 4.812929172484100000e+15
4.336321284418865929e+01 4.812441063596243000e+15
4.344660363811978954e+01 4.812180941969563000e+15
4.352999443205091978e+01 4.812143075307378000e+15
4.361338522598205003e+01 4.812321593854988000e+15
4.369677601991318028e+01 4.812710488076039000e+15
4.378016681384431763e+01 4.813303606365727000e+15
4.386355760777544788e+01 4.814094652847733000e+15
4.394694840170657812e+01 4.815077185236529000e+15
4.403033919563770837e+01 4.816244612821490000e+15
4.411372998956883862e+01 4.817590194531130000e+15
4.419712078349998308e+01 4.819107037137211000e+15
4.428051157743111332e+01 4.820788093630540000e+15
